env_id,H,W,density,planner,method,perturbation,kmax,kendall_tau,jaccard_topk,cose_jaccard,calls_base,time_base,calls_pert,time_pert
2,30,30,0.2,a_star,lime,jitter,5,0.1111111111111111,0.42857142857142855,,500,5.307579832151532,250,2.890317660756409
2,30,30,0.2,a_star,rand,jitter,5,-0.6666666666666666,0.0,,0,0.00010731397196650505,0,0.00010996079072356224
2,30,30,0.2,a_star,geodesic,jitter,5,-0.2777777777777778,0.25,,0,0.0005726329982280731,0,0.000532038975507021
2,30,30,0.2,a_star,cose,jitter,,,,0.0,3,0.03483805013820529,18,0.1658284510485828
2,30,30,0.2,a_star,shap,dilate,5,0.4666666666666667,0.6666666666666666,,1300,11.332350958604366,350,2.3648195499554276
2,30,30,0.2,a_star,lime,dilate,5,-0.06666666666666667,0.25,,500,5.307579832151532,250,2.3449955373071134
2,30,30,0.2,a_star,rand,dilate,5,-0.3333333333333333,0.25,,0,0.00010731397196650505,0,0.00010586204007267952
2,30,30,0.2,a_star,geodesic,dilate,5,-0.2,0.25,,0,0.0005726329982280731,0,0.0005311351269483566
2,30,30,0.2,a_star,cose,dilate,,,,0.0,3,0.03483805013820529,14,0.10727086616680026
2,30,30,0.2,a_star,shap,erode,5,0.696969696969697,0.6666666666666666,,1300,11.332350958604366,700,1.7701072450727224
2,30,30,0.2,a_star,lime,erode,5,-0.36363636363636365,0.1111111111111111,,500,5.307579832151532,250,0.773101082071662
2,30,30,0.2,a_star,rand,erode,5,-0.12121212121212122,0.1111111111111111,,0,0.00010731397196650505,0,0.00011376431211829185
2,30,30,0.2,a_star,geodesic,erode,5,0.18181818181818182,0.42857142857142855,,0,0.0005726329982280731,0,0.000562621746212244
2,30,30,0.2,a_star,cose,erode,,,,0.0,3,0.03483805013820529,1,0.003497897181659937
2,30,30,0.2,a_star,shap,distractors,5,0.36363636363636365,0.6666666666666666,,1300,11.332350958604366,700,5.641636832151562
2,30,30,0.2,a_star,lime,distractors,5,-0.18181818181818182,0.0,,500,5.307579832151532,250,2.8580579212866724
2,30,30,0.2,a_star,rand,distractors,5,-0.18181818181818182,0.1111111111111111,,0,0.00010731397196650505,0,0.00010828999802470207
2,30,30,0.2,a_star,geodesic,distractors,5,0.696969696969697,0.6666666666666666,,0,0.0005726329982280731,0,0.0005725598894059658
2,30,30,0.2,a_star,cose,distractors,,,,0.0,3,0.03483805013820529,26,0.23942122468724847
2,30,30,0.2,dijkstra,shap,jitter,5,0.6363636363636364,0.6666666666666666,,1300,16.752519230823964,600,7.777301597874612
2,30,30,0.2,dijkstra,lime,jitter,5,0.05454545454545454,0.25,,500,6.072914573829621,250,3.0444528851658106
2,30,30,0.2,dijkstra,rand,jitter,5,-0.2,0.25,,0,0.00011707097291946411,0,0.00010868581011891365
2,30,30,0.2,dijkstra,geodesic,jitter,5,0.8181818181818182,0.6666666666666666,,0,0.0005515399388968945,0,0.0005548717454075813
2,30,30,0.2,dijkstra,cose,jitter,,,,0.0,3,0.057631200179457664,1,0.01131146214902401
2,30,30,0.2,dijkstra,shap,dilate,5,0.4666666666666667,0.6666666666666666,,1300,16.752519230823964,350,4.021945534739643
2,30,30,0.2,dijkstra,lime,dilate,5,-0.4666666666666667,0.1111111111111111,,500,6.072914573829621,250,2.57377346791327
2,30,30,0.2,dijkstra,rand,dilate,5,-0.3333333333333333,0.42857142857142855,,0,0.00011707097291946411,0,0.00010572792962193489
2,30,30,0.2,dijkstra,geodesic,dilate,5,-0.2,0.25,,0,0.0005515399388968945,0,0.0005336441099643707
2,30,30,0.2,dijkstra,cose,dilate,,,,0.0,3,0.057631200179457664,14,0.18100301502272487
2,30,30,0.2,dijkstra,shap,erode,5,0.696969696969697,0.6666666666666666,,1300,16.752519230823964,700,9.893824722152203
2,30,30,0.2,dijkstra,lime,erode,5,0.030303030303030304,0.42857142857142855,,500,6.072914573829621,250,3.525082563981414
2,30,30,0.2,dijkstra,rand,erode,5,0.06060606060606061,0.25,,0,0.00011707097291946411,0,0.00011181877925992012
2,30,30,0.2,dijkstra,geodesic,erode,5,0.18181818181818182,0.42857142857142855,,0,0.0005515399388968945,0,0.0005740663036704063
2,30,30,0.2,dijkstra,cose,erode,,,,0.0,3,0.057631200179457664,1,0.013913597911596298
2,30,30,0.2,dijkstra,shap,distractors,5,0.696969696969697,0.6666666666666666,,1300,16.752519230823964,800,10.290278091095388
2,30,30,0.2,dijkstra,lime,distractors,5,-0.09090909090909091,0.0,,500,6.072914573829621,250,3.0698744617402554
2,30,30,0.2,dijkstra,rand,distractors,5,-0.30303030303030304,0.1111111111111111,,0,0.00011707097291946411,0,0.00011898111552000046
2,30,30,0.2,dijkstra,geodesic,distractors,5,0.8787878787878788,0.6666666666666666,,0,0.0005515399388968945,0,0.0005799238570034504
2,30,30,0.2,dijkstra,cose,distractors,,,,0.08333333333333333,3,0.057631200179457664,25,0.36198264081031084
2,30,30,0.2,bfs,shap,jitter,5,0.34545454545454546,0.6666666666666666,,1300,13.339530770201236,600,6.150966490153223
2,30,30,0.2,bfs,lime,jitter,5,-0.3090909090909091,0.1111111111111111,,500,4.873257843777537,250,2.475026573985815
2,30,30,0.2,bfs,rand,jitter,5,-0.23636363636363636,0.25,,0,0.00010882318019866943,0,0.00011214986443519592
2,30,30,0.2,bfs,geodesic,jitter,5,0.2,0.42857142857142855,,0,0.0005579758435487747,0,0.0005523231811821461
2,30,30,0.2,bfs,cose,jitter,,,,0.0,3,0.04724044119939208,22,0.24808695912361145
2,30,30,0.2,bfs,shap,dilate,5,0.4666666666666667,0.6666666666666666,,1300,13.339530770201236,350,3.183451137971133
2,30,30,0.2,bfs,lime,dilate,5,0.06666666666666667,0.1111111111111111,,500,4.873257843777537,250,2.0623400299809873
2,30,30,0.2,bfs,rand,dilate,5,-0.6,0.25,,0,0.00010882318019866943,0,0.00010662572458386421
2,30,30,0.2,bfs,geodesic,dilate,5,-0.2,0.25,,0,0.0005579758435487747,0,0.0005110641941428185
2,30,30,0.2,bfs,cose,dilate,,,,0.0,3,0.04724044119939208,14,0.14555842382833362
2,30,30,0.2,bfs,shap,erode,5,0.696969696969697,0.6666666666666666,,1300,13.339530770201236,700,7.81526630371809
2,30,30,0.2,bfs,lime,erode,5,-0.06060606060606061,0.42857142857142855,,500,4.873257843777537,250,2.799548433162272
2,30,30,0.2,bfs,rand,erode,5,0.2727272727272727,0.25,,0,0.00010882318019866943,0,0.0001083281822502613
2,30,30,0.2,bfs,geodesic,erode,5,0.18181818181818182,0.42857142857142855,,0,0.0005579758435487747,0,0.0005571930669248104
2,30,30,0.2,bfs,cose,erode,,,,0.0,3,0.04724044119939208,1,0.011157946195453405
2,30,30,0.2,bfs,shap,distractors,5,0.696969696969697,0.6666666666666666,,1300,13.339530770201236,800,8.187286146916449
2,30,30,0.2,bfs,lime,distractors,5,-0.12121212121212122,0.1111111111111111,,500,4.873257843777537,250,2.4570607407949865
2,30,30,0.2,bfs,rand,distractors,5,-0.06060606060606061,0.42857142857142855,,0,0.00010882318019866943,0,0.00011788401752710342
2,30,30,0.2,bfs,geodesic,distractors,5,0.42424242424242425,0.42857142857142855,,0,0.0005579758435487747,0,0.0005781892687082291
2,30,30,0.2,bfs,cose,distractors,,,,0.08333333333333333,3,0.04724044119939208,25,0.2860672096721828
2,30,30,0.2,dfs,shap,jitter,5,1.0,0.6666666666666666,,1300,6.340015438385308,550,1.1818931172601879
2,30,30,0.2,dfs,lime,jitter,5,0.24444444444444444,0.25,,500,3.3903684532269835,250,0.8323214529082179
2,30,30,0.2,dfs,rand,jitter,5,-0.28888888888888886,0.25,,0,0.0001128106378018856,0,0.00010281521826982498
2,30,30,0.2,dfs,geodesic,jitter,5,0.5111111111111111,0.25,,0,0.000554993748664856,0,0.0005550561472773552
2,30,30,0.2,dfs,cose,jitter,,,,0.0,3,0.020008489955216646,1,0.0046839178539812565
2,30,30,0.2,dfs,shap,dilate,5,0.4666666666666667,0.6666666666666666,,1300,6.340015438385308,350,1.605313308071345
2,30,30,0.2,dfs,lime,dilate,5,-0.3333333333333333,0.1111111111111111,,500,3.3903684532269835,250,1.4669645628891885
